canonical_name,full_name,domain,tier,source_preference,openreview_id_pattern,s2_venue_key,openalex_venue_name,aliases
WAIM,International Conference on Web Age Information Management,DB,C,s2,,WAIM,WAIM,waim
SSTD,International Symposium on Spatial and Temporal Databases,DB,C,s2,,SSTD,SSTD,sstd
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,DB,C,s2,,PAKDD,PAKDD,pakdd
ADMA,International Conference on Advanced Data Mining and Applications,DB,C,s2,,ADMA,ADMA,adma
WISA,Web Information Systems and Applications,DB,C,s2,,WISA,WISA,wisa
STOC,ACM Symposium on the Theory of Computing,Theory,A,s2,,STOC,STOC,stoc
SODA,ACM-SIAM Symposium on Discrete Algorithms,Theory,A,s2,,SODA,SODA,soda
CAV,International Conference on Computer Aided Verification,Theory,A,s2,,CAV,CAV,cav
FOCS,IEEE Annual Symposium on Foundations of Computer Science,Theory,A,s2,,FOCS,FOCS,focs
LICS,ACM/IEEE Symposium on Logic in Computer Science,Theory,A,s2,,LICS,LICS,lics
SoCG,International Symposium on Computational Geometry,Theory,B,s2,,SoCG,SoCG,socg
ESA,European Symposium on Algorithms,Theory,B,s2,,ESA,ESA,esa
CCC,Conference on Computational Complexity,Theory,B,s2,,CCC,CCC,ccc
ICALP,"International Colloquium on Automata, Languages and Programming",Theory,B,s2,,ICALP,ICALP,icalp
CADE,Conference on Automated Deduction,Theory,B,s2,,CADE,CADE,cade
CONCUR,International Conference on Concurrency Theory,Theory,B,s2,,CONCUR,CONCUR,concur
HSCC,International Conference on Hybrid Systems: Computation and Control,Theory,B,s2,,HSCC,HSCC,hscc
SAT,International Conference on Theory and Applications of Satisfiability Testing,Theory,B,s2,,SAT,SAT,sat
COCOON,International Computing and Combinatorics Conference,Theory,B,s2,,COCOON,COCOON,cocoon
FMCAD,Formal Methods in Computer-Aided Design,Theory,B,s2,,FMCAD,FMCAD,fmcad
CSL,Computer Science Logic,Theory,C,s2,,CSL,CSL,csl
FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Theory,C,s2,,FSTTCS,FSTTCS,fsttcs
DSAA,IEEE International Conference on Data Science and Advanced Analytics,Theory,C,s2,,DSAA,DSAA,dsaa
ICTAC,International Colloquium on Theoretical Aspects of Computing,Theory,C,s2,,ICTAC,ICTAC,ictac
IPCO,International Conference on Integer Programming and Combinatorial Optimization,Theory,C,s2,,IPCO,IPCO,ipco
FSCD,International Conference on Formal Structures for Computation and Deduction,Theory,C,s2,,FSCD,FSCD,fscd
ISAAC,International Symposium on Algorithms and Computation,Theory,C,s2,,ISAAC,ISAAC,isaac
MFCS,International Conference on Mathematical Foundations of Computer Science,Theory,C,s2,,MFCS,MFCS,mfcs
STACS,Symposium on Theoretical Aspects of Computer Science,Theory,C,s2,,STACS,STACS,stacs
SETTA,"International Symposium on Software Engineering: Theories, Tools, and Applications",Theory,C,s2,,SETTA,SETTA,setta
ACM MM,ACM International Conference on Multimedia,CG,A,s2,,ACM Multimedia,ACM Multimedia,"acm mm,acm multimedia,acmmm,mm"
SIGGRAPH,ACM Special Interest Group on Computer Graphics,CG,A,s2,,SIGGRAPH,SIGGRAPH,siggraph
VR,IEEE Virtual Reality,CG,A,s2,,VR,VR,vr
IEEE VIS,IEEE Visualization Conference,CG,A,s2,,IEEE VIS,IEEE VIS,"ieee vis,ieeevis"
ICMR,ACM SIGMM International Conference on Multimedia Retrieval,CG,B,s2,,ICMR,ICMR,icmr
I3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,CG,B,s2,,I3D,I3D,i3d
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,CG,B,s2,,SCA,SCA,sca
DCC,Data Compression Conference,CG,B,s2,,DCC,DCC,dcc
Eurographics,Annual Conference of the European Association for Computer Graphics,CG,B,s2,,Eurographics,Eurographics,eurographics
EuroVis,Eurographics Conference on Visualization,CG,B,s2,,EuroVis,EuroVis,eurovis
SGP,Eurographics Symposium on Geometry Processing,CG,B,s2,,SGP,SGP,sgp
EGSR,Eurographics Symposium on Rendering,CG,B,s2,,EGSR,EGSR,egsr
ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",CG,B,s2,,ICASSP,ICASSP,icassp
ICME,IEEE International Conference on Multimedia & Expo,CG,B,s2,,ICME,ICME,icme
ISMAR,International Symposium on Mixed and Augmented Reality,CG,B,s2,,ISMAR,ISMAR,ismar
PG,Pacific Conference on Computer Graphics and Applications,CG,B,s2,,PG,PG,pg
SPM,Symposium on Solid and Physical Modeling,CG,B,s2,,SPM,SPM,spm
